scientific_name,ocurrence
Myctophidae,53
Arthropoda,38
Gonostomatidae,38
Annelida,36
Globothalamea,34
Perciformes,24
Foraminifera,24
Nematoda,23
Scombridae,17
Rotaliida,16
Bryozoa,16
Carangidae,15
Capitellidae,15
Gobiidae,15
Scaridae,14
Paraonidae,14
Crustacea,13
Oithona setigera,13
Stomiiformes,12
Halacaridae,12
Temora turbinata,12
Phosichthyidae,11
Miraciidae,11
Lituolida,10
Conchoecia sp.,10
Harpacticoida,10
Clausocalanus furcatus,10
Gempylidae,10
Sternoptychidae,9
Bregmacerotidae,9
Cyclothone sp.,9
Serranidae,9
Cephalorhyncha,9
Polychaeta,8
Spionidae,8
Corycaeus lautus,8
Neotonchidae,8
Caribe colombiano,8
Hauerinidae,8
Myctophiformes,8
Cirratulidae,8
Yoldiidae,7
Foraminifera incertae sedis,7
Leptosomatidae,7
Monothalamea,7
Mollusca,7
Sipuncula,7
Hormosinidae,7
Calocalanus pavo,7
Phascolionidae,6
Lagenida,6
Euchaeta marina,6
Thunnus albacares,6
Cyclopoida,6
Meiofauna,6
Chelicerata,6
Astrorhizida,6
Delphinidae,6
Prochaetodermatidae,6
Acropomatidae,5
Aulopiformes,5
Tubulanidae,5
Sula leucogaster,5
Mediophyceae,5
Desmosomatidae,5
Lineidae,5
Apseudidae,5
Subeucalanus sp.,5
Oligochaeta,5
Chaetocerotales,5
Cnidaria,5
Eleotridae,5
Nemertea,5
Bacillariophyta,5
Cyclothone acclinidens,5
S. frontalis,5
Nonionidae,4
Paralepididae,4
Buliminidae,4
Anatidae,4
Howellidae,4
Nonionoidea,4
Myctophum sp.,4
Discorbinellidae,4
Chaetocerotaceae,4
Cibicididae,4
Maldanidae,4
Estación meteorológica Cortissoz,4
Sulidae,4
Parkesia,4
H. rustica,4
Tubothalamea,4
Stomiidae,4
Nodosarioidea,4
Planorbulinoidea,4
Prolixoplectidae,4
Ammolagenidae,4
Setophaga Reinita,4
Parulidae,4
Isopoda,4
Procellariidae,4
Cyclamminidae,4
Pleuronectiformes,4
Chaetognatha,4
Uvigerinidae,4
Miozoa,4
Hirundo rustica,4
Cyanobacteria,4
Pandionidae,4
Calanoida,4
T. turbinata,4
Buliminoidea,4
Dinophyceae,4
Farranula gracilis,4
Familia,4
Rhabdamminidae,4
Macrosetella gracilis,4
Undinula vulgaris,4
Thecosomata,4
Callionymidae,4
Phascolosomatidae,4
Ammodiscidae,4
Pelecanidae,4
Chordata,4
Littorinimorpha,3
Tyrannidae,3
Enoplea,3
Chaetoceros,3
Melonidae,3
Paracalanidae,3
Fregatidae,3
Chaetoceros cf. diversus,3
Calanopia americana,3
Hirundinidae,3
Nodosariidae,3
Imágenes satelitales,3
Cryptophyta,3
Oncaea venusta,3
S. leucogaster,3
Thalasseus maximus,3
Fregata magnificens,3
Desmodoridae,3
Cardinalidae,3
Diaphus sp.,3
Tripos kofoidii,3
Rhizamminidae,3
Chromadorea,3
Ochrophyta,3
Stenella frontalis,3
Acanthuridae,3
Haloptilus longicornis,3
Larus,3
Sedentaria,3
Banda clorofila-a,3
Copepoda,3
