location,ocurrence
Puerto Bolívar,26
bahía Portete,21
Bahía Portete,21
Caribe,19
La Guajira,9
Santa Marta,3
Bahía,1
Playa Salguero,1
D. T. C. H.,1
Colombia,1
Parque Eólico,1
La Niña,1
