scientific_name,ocurrence
Pelliceria rhizophorae,1
Parcela,1
Conocarpus erecta,1
Mora megistoperma,1
Rhizophora racemosa,1
Avicennia germinans,1
Laguncularia racemosa,1
Parcelas permanentes-,1
Rhizophora harrisoni,1
Rhizophora mangle,1
