location,ocurrence
Playa Blanca,15
bahía de Santa Marta,3
PLAYA BLANCA,2
Muelle Cabotaje,2
Bahía de Santa Marta,2
Bahía Santa Marta,2
México,1
Brasil,1
Santa Marta,1
Magdalena,1
