location,ocurrence
Puerto Luz,11
Santa Marta,9
Caribe,4
Venezuela,3
Rodadero,3
Colombia,2
bahía de Santa Marta,2
Atlántico,2
acuario de Santa Marta,2
Acuario de Santa Marta,2
Playa Salguero Santa Marta,1
La Guajira,1
Mediterráneo,1
Sudáfrica,1
Argentina,1
Golfo de México,1
Suramérica,1
USA,1
Bahía de Santa Marta,1
Cabo Cod,1
América del Norte,1
mar Mediterráneo,1
Atlántico Oriental,1
El Rodadero,1
