location,ocurrence
Golfo de Morrosquillo,5
Ciénaga de La Caimanera,4
Coveñas,2
Punta Piedra,2
Caimanera,2
Boca de la Caimanera,1
Santa Marta,1
MORROSQUILLO,1
La Caimanera,1
Boya,1
Morrosquillo,1
golfo de Morrosquillo,1
