location,ocurrence
río Toribio,25
Magdalena,11
Toribio,6
Colombia,6
rio Toribio,5
Santa Marta,5
Playitas,2
Córdoba,2
Madre Vieja,2
Costa Verde,2
Ciénaga,2
Neguanje,1
Cuchilla de San Lorenzo,1
Parque Nacional Natural Tayrona,1
Barranquilla,1
Ciénaga Grande de Santa Marta,1
Distrito de Santa Marta,1
Buritaca,1
Guachaca,1
Isla de Salamanca,1
Aeropuerto Internacional Ernesto Cortissoz,1
Sierra Nevada de Santa Marta,1
Rio Toribio,1
R,1
