location,ocurrence
Bahía de Santa Marta,2
río Manzanares,1
Santa Marta,1
Marina Internacional de Santa Marta,1
Playa Salguero Santa Marta,1
Puente de la calle,1
Colombia,1
playa del Batallón,1
SANTA MARTA,1
